case number,Who was the member adjudicating the decision?,What was the location of the landlord tenant board?,Did the decision state the landlord was represented?,Did the decision state the landlord attended the hearing?,Did the decision state the tenant was represented?,Did the decision state the tenant attended the hearing?,Did the decision state the landlord was a not-for-profit landlord (e.g. Toronto Community Housing)?,Did the decision state the tenant was collecting a subsidy?,What was the outcome of the case?,What was the length of the tenancy,What was the monthly rent?,rental deposit amount,was there an rent increases,What was the total amount of arrears?,Over how many months did the arrears accumulate?,Does the tenant made a payment on the arrears after the eviction notice,"Did the decision mention a history of arrears by the tenant separate from the arrears in the current claim (more than one period of arrears, recurrently coming in and out of arrears, arrears with previous landlord, etc.)?","Did the member find the tenant had or seemed to have the ability to pay rent, but chose not do so?","What were the specific mental, medical, or physical conditions of the tenant, if any?",Did the decision state that the tenant had children living with them?,Was the tenant employed at the time of the hearing?,"If the tenant was not employed, did the decision state the tenant was receiving any form of government assistance (e.g. OW, childcare benefits, ODSP, OSAP)?","If the tenant was employed, did the decision state any doubts about the stability of employment e.g. lack of guaranteed hours, contract work, etc.?",Did the member find the tenant had sufficient income to pay rent?,Did the decision mention the tenant lost their job leading up to or during the period of the hearing?,"Did the decision mention any other extenuating circumstances experienced by the tenant leading up to or during the period of the claim (e.g. hospitalization, death in the family, etc.)?","Did the decision mention the tenant’s difficulty finding alternative housing for any reason e.g.physical limitations, reliance on social assistance, etc.?",Did the decision state the tenant was given prior notice for the eviction?,Did the decisions state postponement would result in the tenant accruing additional arrears?,Did the decision mention the validity of an N4 eviction notice?,Payment Plan,L1 present?,L2 present?,L3 present?,L4 present?,L8 present?,L9 present?,N5 present?,N6 present?,N7 present?,N8 present?,T1 present?,T2 present?,T3 present?,T5 present?,T6 present?
CEL-77282-18-RV,renee lang,Toronto,0,1,0,1,0,0,No relief,20.0,1780.0,1750.0,0,9730.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CEL-77291-18,jitewa edu,Mississauga,1,0,1,0,0,0,Relief,6.306049004594181,2500.0,1365.9816966067865,0,10000.0,6.0,1,0,0,1,1,1,0,-1,0,0,1,0,1,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEL-77313-18,jitewa edu,Mississauga,1,1,0,1,0,0,Relief,6.306049004594181,3200.0,1365.9816966067865,0,4400.0,2.0,0,0,0,0,0,1,0,-1,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEL-77387-18,lisa del vecchio,Mississauga,1,0,0,1,0,0,Relief,7.0,1600.0,1600.0,0,6082.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEL-77588-18,karen wallace,Mississauga,1,1,1,1,0,0,Relief,15.0,2350.0,2350.0,0,2350.0,1.0,0,0,0,0,1,1,0,-1,0,1,0,0,1,0,1,0.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
CEL-77598-18,roderick flynn,Toronto,1,0,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1365.9816966067865,0,12819.98,7.0,0,0,0,0,0,-1,-1,0,0,0,1,1,1,0,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TSL-81051-17,renee lang,Toronto,1,0,0,1,0,0,No relief,6.306049004594181,1104.5,1019.45,0,4767.67,12.0,1,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSL-81884-17,jean-paul pilon,Toronto,1,0,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,998.0,0,823.02,22.0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
TSL-82628-17-RV-HR,nancy henderson,Toronto,1,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,730.0,0,10950.0,17.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TSL-86215-17,jean-paul pilon,Toronto,1,0,0,1,0,0,Relief,6.306049004594181,1595.9445741324917,1365.9816966067865,0,9176.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEL-77739-18,lisa del vecchio,Mississauga,1,0,0,1,0,0,Relief,14.0,1350.0,1350.0,0,6750.0,6.0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEL-77833-18,jitewa edu,Mississauga,0,1,0,1,0,0,No relief,5.0,1000.0,1000.0,0,3000.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
CEL-77933-18,avril cardoso,Mississauga,0,1,0,1,0,0,No relief,66.0,905.0,905.0,0,2715.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CEL-78005-18-RV,avril cardoso,Orangeville,0,1,0,1,0,0,No relief,108.0,1595.9445741324917,1100.0,0,5275.23,5.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
TEL-89489-18,shelby whittick,Toronto,1,0,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1125.63,0,766.03,4.0,1,0,0,1,0,-1,-1,0,0,0,1,0,1,0,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CEL-78138-18,lisa del vecchio,Mississauga,1,1,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1365.9816966067865,0,4600.0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSL-86427-17-RV,nancy henderson,Toronto,1,1,0,1,0,0,Relief,6.306049004594181,1595.9445741324917,500.0,0,980.0,8.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TSL-87859-17,renee lang,Toronto,1,1,1,1,0,0,Relief,60.0,1198.76,1365.9816966067865,0,1198.76,1.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
CEL-78307-18,alex brkic,Mississauga,0,1,0,1,0,0,Relief,15.0,850.0,356.3,0,1700.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CEL-78365-18,lisa del vecchio,Mississauga,1,1,0,1,0,0,Relief,53.0,1595.9445741324917,2000.0,0,6764.0,6.0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CEL-78430-18,alex brkic,Barrie,1,0,0,0,0,0,No relief,46.0,1595.9445741324917,1528.02,0,4407.12,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0
CEL-78549-18,alex brkic,Barrie,1,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1550.0,0,4709.5,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
TEL-89525-18,ruth carey,Whitby ,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1950.0,0,4850.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TEL-89565-18,elana rose,Whitby ,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1350.0,0,10478.55,11.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TEL-89604-18,elana rose,Whitby,0,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1050.0,0,5325.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TEL-89637-18,elana rose,Toronto,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,854.12,0,966.67,6.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TEL-89644-18,laura hartslief,Toronto,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1295.3,0,4982.52,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEL-94512-18,jim mcmaster,Whitby,0,1,0,1,0,0,No relief,6.306049004594181,1725.0,1365.9816966067865,0,8577.61,5.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEL-94597-18,laura hartslief,Toronto,1,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1800.0,0,8897.79,5.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TEL-94661-18,jim mcmaster,Whitby,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1193.0,0,2431.69,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEL-94869-18,laura hartslief,Whitby,0,1,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1700.0,0,4438.61,2.6,0,0,1,1,0,1,0,-1,1,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEL-94870-18,laura hartslief,Whitby ,0,1,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1550.0,0,3100.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEL-94962-18,petar guzina,Burlington,0,1,0,1,0,0,No relief,24.0,3000.0,2900.0,0,17072.6,11.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEL-95255-18,ruth carey,Toronto,1,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1200.0,0,4122.92,6.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TEL-95255-18-AM   ,ruth carey,Toronto,1,1,0,0,0,0,No relief,95255.0,1595.9445741324917,1200.0,0,1201.92,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TEL-95457-18,laura hartslief,Toronto,0,1,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1100.0,0,3300.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TEL-95691-18-IN,jim mcmaster,Belleville,1,1,1,1,0,0,Relief,6.306049004594181,1595.9445741324917,1365.9816966067865,0,13113.52,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TEL-96002-18,ruth carey,Cobourg,1,0,0,1,0,0,Relief,5.0,1028.1,1010.0,0,2769.08,7.0,1,1,0,0,1,1,0,-1,0,0,1,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEL-96550-18,shelby whittick,Belleville,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,900.0,0,5802.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TEL-96690-18-SA,ruth carey,Toronto,1,1,0,1,0,0,No relief,10.0,1233.0,1365.9816966067865,0,4431.0,6.306049004594181,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 TSL-89992-17,laura hartslief,Whitby,1,1,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,2450.0,0,14700.0,6.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 TEL-94512-18,jim mcmaster,Whitby ,0,1,0,1,0,0,Relief,6.306049004594181,1725.0,1365.9816966067865,0,8625.0,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TET-89650-18 / TET-89650-18,ruth carey,Toronto,0,1,0,1,0,0,No relief,34.0,750.0,500.0,0,5443.84,6.306049004594181,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
TNL-00253-17,sylvia watson,Toronto,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1175.0,0,5240.342916006339,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 TNL-00793-18  TNL-01183-18,sylvia watson,Toronto,0,1,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,750.0,0,5240.342916006339,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNL-00821-18,neil kaufman,Toronto,1,0,0,1,0,0,Relief,24.0,1159.32,1138.83,0,1197.35,1.0,1,1,0,0,0,1,0,-1,0,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 TNL-00822-18,neil kaufman,Toronto,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1365.9816966067865,0,5240.342916006339,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TNL-00911-18,egya sangmuah,Toronto,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,901.8,0,5240.342916006339,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNL-01248-18,neil kaufman,Toronto,1,0,0,1,0,0,Relief,6.0,1595.9445741324917,1365.9816966067865,0,5240.342916006339,3.0,0,0,0,0,1,1,0,-1,1,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEL-89697-18,not listed,Toronto,1,0,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1040.0,0,4060.85,7.0,0,0,0,0,1,1,0,-1,0,1,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEL-89698-18,elana rose,Toronto,1,0,0,1,0,0,Relief,6.306049004594181,938.18,835.0,0,4692.16,11.0,0,0,0,0,1,-1,1,0,0,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEL-87788-19,sonia anwar-ali,Toronto,1,1,0,1,0,0,Conditional Order,83.0,1398.79,1365.9816966067865,0,5240.342916006339,6.306049004594181,0,0,0,1,1,1,1,-1,1,0,1,1,1,0,1,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
CEL-79487-18,lisa del vecchio,Mississauga,0,1,0,1,0,0,Relief,6.306049004594181,2200.0,2200.0,0,4400.0,2.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EAL-83967-19,sonia anwar-ali,Belleville,0,0,0,1,0,1,Relief,60.0,197.0,1365.9816966067865,0,2830.0,15.0,1,1,0,1,0,-1,1,0,1,0,0,0,1,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CET-70370-17,lisa del vecchio,Barrie,1,0,0,1,0,1,No relief,6.0,1500.0,1500.0,0,7500.0,5.0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOL-06021-19,debbie mosaheb,Toronto,1,0,0,1,0,0,Relief,120.0,938.03,1365.9816966067865,0,2044.85,11.0,1,0,1,0,0,-1,-1,0,1,0,0,0,1,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOL-06092-19,lynn mitchell,Newmarket,1,0,0,0,0,0,No relief,41.0,2500.0,2400.0,0,20000.0,8.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEL-01195-19-RV,sonia anwar-ali,Toronto,0,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1365.9816966067865,0,5240.342916006339,6.306049004594181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TEL-02564-19-RV,sonia anwar-ali,Peterborough,0,1,0,1,0,0,No relief,37.0,942.71,1365.9816966067865,0,7541.68,8.0,0,0,0,0,1,-1,1,0,0,1,1,0,1,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
TNL-01365-18,egya sangmuah,Toronto,0,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1365.9816966067865,0,5240.342916006339,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNL-01527-18,debbie mosaheb,Toronto,1,1,0,1,0,0,No relief,18.0,1300.0,1365.9816966067865,0,5240.342916006339,7.0,1,0,1,0,1,1,1,-1,1,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 TNL-01582-18-AM,harry cho,Newmarket,1,0,1,0,0,0,Relief,6.306049004594181,500.0,500.0,0,5240.342916006339,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNL-01740-18,nancy morris,Toronto,0,1,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1365.9816966067865,0,5240.342916006339,4.0,0,0,0,0,0,1,0,-1,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 TNL-01839-18,harry cho,Newmarket,0,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,2200.0,0,5240.342916006339,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 TNL-02075-18,sylvia watson,Newmarket,0,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,950.0,0,5240.342916006339,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 TNL-02210-18,harry cho,Toronto,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,855.0,0,5240.342916006339,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 TNL-02284-18,lynn mitchell,Toronto,1,1,1,1,0,0,Relief,6.306049004594181,1595.9445741324917,1900.0,0,7600.0,6.306049004594181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
TNL-02343-18,neil kaufman,Toronto,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1368.34,0,5240.342916006339,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNL-02440-18-RV,egya sangmuah,Not stated,1,1,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1365.9816966067865,0,5240.342916006339,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 TNL-02453-18,sylvia watson,Toronto,0,1,1,1,0,0,No relief,10.0,1595.9445741324917,2150.0,0,5240.342916006339,7.0,0,0,1,0,0,1,0,-1,1,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNL-02875-18,louise horton,Newmarket,1,1,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,3300.0,0,5240.342916006339,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 TNL-03085-18,sylvia watson,Toronto,1,0,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1221.6,0,5240.342916006339,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEL-02811-19-RV,sonia anwar-ali,Whitby,0,1,0,1,0,0,Relief,6.306049004594181,1650.0,1650.0,0,6981.09,6.0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEL-03413-19,sonia anwar-ali,Belleville,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1365.9816966067865,0,5240.342916006339,6.306049004594181,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
CET-74655-18,david mungovan,Mississauga,1,0,1,0,0,0,Relief,29.0,2500.0,1365.9816966067865,0,5240.342916006339,6.306049004594181,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
TEL-03502-19,sonia anwar-ali,Peterborough,1,1,0,0,0,0,No relief,8.0,1200.0,1200.0,0,2575.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EAL-71135-18,margaret reynolds,by telephone,0,1,0,1,0,0,No relief,42.0,1500.0,1500.0,0,5320.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEL-03588-19,ruth carey,Whitby,0,1,0,1,0,0,Relief,17.0,1900.0,1900.0,0,16200.0,9.0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EAL-73036-18,emily crocco,Ottawa,1,0,0,1,0,1,Relief,42.0,134.0,1365.9816966067865,0,347.3,22.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EAL-73495-18,jim mcmaster,Belleville,0,1,0,1,0,0,No relief,18.0,1595.9445741324917,975.0,0,3075.25,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
EAL-76016-18,émilie moniz,Ottawa,1,0,0,0,0,0,No relief,6.306049004594181,1170.0,1365.9816966067865,0,2569.2,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOL-02048-17,roger rodrigues,Toronto,1,0,0,1,0,0,Relief,29.0,2000.0,1365.9816966067865,1,520.0,13.0,0,0,0,0,0,1,0,-1,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOL-02106-17,cristina de leon-culp,Hamilton,0,1,0,1,0,0,No relief,6.306049004594181,2000.0,2000.0,0,4091.97,3.0,0,1,0,0,1,1,0,-1,0,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNL-03242-18,nancy morris,Toronto,1,0,0,1,0,0,Relief,36.0,1595.9445741324917,1192.27,0,5240.342916006339,3.0,0,0,0,1,0,1,0,-1,0,0,1,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNL-03260-18,nancy morris,Toronto,0,1,0,0,0,0,No relief,6.306049004594181,750.0,1365.9816966067865,0,5240.342916006339,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNL-03299-18  TNT-00589-17      ,harry cho,Toronto,1,0,1,1,0,0,No relief,6.306049004594181,1595.9445741324917,1733.6,0,5240.342916006339,6.306049004594181,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 TNL-03769-18,nancy morris,Toronto,1,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1060.16,0,5240.342916006339,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 TNL-03797-18,louise horton,Newmarket,1,0,0,0,0,0,No relief,6.306049004594181,1752.99,1662.0,0,5240.342916006339,6.306049004594181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNL-03797-18-RV,egya sangmuah,Toronto,1,0,1,0,0,0,Relief,6.306049004594181,1595.9445741324917,1365.9816966067865,0,5240.342916006339,6.306049004594181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNL-03847-18,harry cho,Newmarket,0,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,500.0,0,5240.342916006339,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 TNL-03911-18,louise horton,Toronto,1,0,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1096.22,0,5240.342916006339,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 TNL-04214-18,louise horton,Toronto,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,2300.0,0,5240.342916006339,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 TNL-04261-18,sylvia watson,Newmarket,0,1,1,1,0,0,No relief,26.0,2350.0,2350.0,0,11750.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNL-04296-18,neil kaufman,Toronto,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1377.06,0,5240.342916006339,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TNL-04389-18-BIR,sylvia watson,Toronto,1,0,1,0,0,0,Relief,240.0,1595.9445741324917,1365.9816966067865,0,5240.342916006339,6.306049004594181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNL-04435-18  TNL-03907-18,neil kaufman,Newmarket,0,1,1,1,0,0,Relief,6.306049004594181,1595.9445741324917,1200.0,0,5240.342916006339,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
TEL-89823-18,elana rose,Whitby,1,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1365.9816966067865,0,7200.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
